491,20,0,0,1,9,2,0,0.03,0,0,0,0.17,25,0,0,150,0.17,2,0,2,normal
146,41,0,0.15,0.08,9,13,0,0.6,0,0,0,0,1,0,0,255,0.88,1,0,3,normal
0,45,0,0.07,0.05,5,123,1,0.05,1,1,1,0.1,26,0,0,255,0,6,0,2,neptune
232,23,8153,0,1,9,5,0.01,0,0.03,0.2,0.2,1,255,1,0.04,30,0.03,5,0,2,normal
199,23,420,0,1,9,30,0,0,0,0,0,1,255,1,0,255,0,32,0.09,2,normal
0,45,0,0.06,0.16,2,121,0,0.07,0,0,0,0.07,19,0,0,255,0,19,0,2,neptune
0,45,0,0.06,0.05,5,166,1,0.05,1,1,1,0.04,9,0,0,255,0,9,0,2,neptune
0,45,0,0.06,0.14,5,117,1,0.07,1,1,1,0.06,15,0,0,255,0,16,0,2,neptune
0,47,0,0.05,0.09,5,270,1,0.05,1,1,1,0.09,23,0,0,255,0,23,0,2,neptune
0,45,0,0.06,0.06,5,133,1,0.06,1,1,1,0.05,13,0,0,255,0,8,0,2,neptune
0,45,0,0.06,0.06,2,205,0,0.07,0,0,0,0.05,12,0,0,255,0,12,0,2,neptune
0,45,0,0.06,0.02,5,199,1,0.07,1,1,1,0.05,13,0,0,255,0,3,0,2,neptune
287,23,2251,0,1,9,3,0,0,0,0,0,1,219,1,0.03,8,0.12,7,0.43,2,normal
0,33,0,0.06,0,5,233,1,0.07,1,1,1,0,1,0,0,255,0,1,0,2,neptune
0,35,0,0.05,0.17,5,96,1,0.06,1,1,1,0.01,2,0,0,255,0,16,0,2,neptune
300,23,13788,0,1,9,8,0,0,0,0.11,0,1,255,1,0.02,91,0.01,9,0.22,2,normal
233,23,616,0,1,9,3,0,0,0,0,0,1,255,1,0.03,66,0.02,3,0,2,normal
343,23,1178,0,1,9,9,0,0,0,0,0,1,255,1,0.04,157,0.01,10,0.2,2,normal
0,32,0,0.05,0.1,5,223,1,0.05,1,1,1,0.09,23,0,0,255,0,23,0,2,neptune
0,45,0,0.05,0.06,5,280,1,0.06,0.99,1,1,0.07,17,0,0,238,0,17,0,2,neptune
253,23,11905,0,1,9,8,0,0,0,0,0,1,255,1,0.02,87,0.01,10,0.2,2,normal
147,41,105,0,1,9,1,0,0.85,0,0,0,0,1,0,0,255,1,1,0,3,normal
0,32,0,0.06,0.01,5,248,1,0.06,1,1,1,0.01,2,0,0,255,0,2,0,2,neptune
437,56,14421,0,1,9,1,0,0.05,0.53,0,0,0.1,25,1,0,255,0,1,0,2,normal
0,45,0,0.06,0.03,5,279,1,0.07,1,1,1,0.05,13,0,0,255,0,7,0,2,neptune
227,23,6588,0,1,9,5,0,0,0,0,0,1,255,1,0.14,43,0.02,22,0.18,2,normal
215,23,10499,0,1,9,14,0,0,0,0,0,1,255,1,0,255,0,14,0,2,normal
241,23,1400,0,1,9,33,0,0,0,0,0,1,255,1,0,255,0,33,0,2,normal
0,18,0,0.07,0.28,5,57,1,0.04,1,1,1,0.23,59,0,0,255,0.01,16,0,2,neptune
303,23,555,0,1,9,9,0,0,0,0,0,1,255,1,0.01,9,0.11,9,0,2,normal
45,12,45,0,1,9,181,0,0.01,0,0,0,0.98,250,0,0,255,0,181,0,3,normal
105,45,147,0,1,9,2,0,0.05,0,0,0,0.12,5,0,0,41,0.05,2,0,3,normal
43,12,43,0,1,9,122,0,0,0,0,0,1,255,0,0,255,0.01,202,0.01,3,normal
